index,full_date,Event,Location,Latitude,Longitude
74,3/3/2025,Flyer Drop Off at Queens Public Library at Jackson Heights,"35-51 81st Street, Jackson Heights, NY 11372",40.75008902,-73.88518976
75,3/4/2025,111th Precinct Community Council Meeting,"4506 215 St., Bayside",40.76023729,-73.76758706
76,3/4/2025,102 PCT Council Meeting,110-08 Jamaica Avenue NY 11418,40.6963813,-73.83766352
77,3/5/2025,Womens History Month - Rochdale Village Senior Citizens Comm,"169-65 137th�Avenue, Jamaica NY 11434.",40.67409593,-73.7709094
78,3/5/2025,Project Lead Career Readiness Event,"80-14 Chevy Chase St., Fresh Meadows 11432",40.72792918,-73.78352462
79,3/6/2025,Community Board 10 Meeting,163-15 Cross Bay Boulevard in Howard Beach,40.65192558,-73.83778075
80,3/6/2025,Elder Abuse Presentation at Selfhelp Latimer Gardens,"3430 137 St., Flushing",40.76591402,-73.83020976
81,3/6/2025,Federated Block of Laurelton,"227-10 Merrick Blvd Laurelton, NY",40.6767233,-73.7427561
82,3/7/2025,Senior  Frauds and Scams Awareness,"13-28 123rd Street, College Point, NY 11356)",40.78579331,-73.84494771
83,3/7/2025,TLC Resource Fair,88-08 Jamaica Avenue,40.69260003,-73.85604453
84,3/8/2025,International Women's Day Event,"79-01 Broadway, Elmhurst NY 11373",40.7445941,-73.88617437
85,3/11/2025,103rd Precinct Meeting,"94-20 Guy R Brewer Blvd, Jamaica, NY 11451",40.70181399,-73.79600319
86,3/11/2025,Community Board 9 Monthly Meeting,Queens Borough Hall,40.71363624,-73.82820857
87,3/11/2025,Community Board 14 Meeting,330 Beach 90 Street Rockaway Beach,40.58869727,-73.81533855
88,3/12/2025,109 Pct Council Meeting,143-11 Roosevelt Avenue.,40.76155147,-73.82405675
89,3/12/2025,Ravenswood Houses Resident Association,"35-40 21 Street, Long Island City",40.76049387,-73.93670254
90,3/12/2025,106 Precinct Council Meeting,"103-53 101st St, South Ozone Park, NY 11417",40.68217986,-73.83985338
91,3/12/2025,Community Board 5 Monthly Meeting,"6802 Metropolitan Ave, Middle Village",40.71169516,-73.88821991
92,3/12/2025,Woodside Houses Resident Association,"50-37 Broadway, Woodside, NY 11377",40.75513118,-73.90957995
93,3/13/2025,BHALO Ramadan Iftar Dinner Event,"13-05 43rd Avenue, Long Island City NY 11101",40.75102132,-73.94608735
94,3/13/2025,Wheelchair Charities 2025,"82-68 164th Street, Jamaica, NY,",40.71791832,-73.8040876
95,3/13/2025,Hamilton Beach Civic Association Meeting,"99-24 Russell St, Howard Beach, NY 11414",40.65425469,-73.83154175
96,3/13/2025,The Octagon Neighborhood Civic Association,"129-21 Merrick Blvd, Jamaica, NY 11434",40.68075335,-73.76337948
97,3/14/2025,Blood Drive and Resource Fair,"133-33 39th Avenue, Flushing, NY 11354",40.7596621,-73.8335793
98,3/16/2025,TBN 24 Ramadan Iftar Evnet,"59-15 37th Ave, Woodside, NY 11377",40.74988363,-73.90275312
99,3/17/2025,113th Precinct Council Meeting,"169-65 137th�Avenue, Jamaica NY 11434.",40.67409593,-73.7709094
100,3/17/2025,QDA QPL Mobile office flyer drop off,"20-12 Madison St, Ridgewood, NY 11385",40.70527563,-73.90264305
101,3/18/2025,South Ozone Park Civic Association West Inc.,"127-17 135th Ave, South Ozone Park, NY 11420",40.66910725,-73.8119252
102,3/18/2025,115th Precinct Council Meeting,"92-15 Northern Blvd, Jackson Heights, NY 11372",40.75674512,-73.87565085
103,3/18/2025,104 Precinct Community Council Meeting,"6002 Maspeth Ave, Maspeth",40.72299049,-73.90585477
104,3/19/2025,101 Precinct Council Meeting,"1332 Central Ave, Far Rockaway, NY 11691",40.60694925,-73.75005544
105,3/19/2025,QDA Women's History Month Celebration,"65-30 Kissen Boulevard, Flushing, NY 11367",40.73605331,-73.81731355
106,3/19/2025,Community Board 8 Monthly Meeting,183-02 Union Turnpike in Fresh Meadows,40.72766663,-73.7851104
107,3/20/2025,Community Board 3 Meeting,100-01 Northern Blvd. Corona,40.75753384,-73.86821437
108,3/21/2025,Queens Community Justice Center | The Rockaways,"1027 Beach 20th Street, Far Rockaway, NY 11691",40.6031393,-73.7534514
109,3/21/2025,Northwest Bayside Civic Association,"34th Ave and 203 St., Bayside",40.76746038,-73.78515595
110,3/22/2025,"Queens, the World's Borough Sign Dedication",MacDonald Park Intersection of Queens Blvd & Yellowstone Blvd,40.72218659,-73.84672105
111,3/22/2025,"48th Annual Founder's Day Luncheon - NANBPWC, Inc",96-43 Springfield Blvd NY 11429,40.71751548,-73.73483092
112,3/22/2025,The Greater Triangular Civic Association Community Brunch - Frauds Presentation,"177-01 Baisley Blvd, Jamaica, NY 11434",40.68673573,-73.76883428
113,3/22/2025,Queens: The World's Borough Sign Unvieling,MacDonald Park at the Intersection of Queens Blvd. and Yellowstone Blvd.,40.72218659,-73.84672105
114,3/24/2025,Alvista Towers Tenant Association,"147-36 94th ave Jamaica , NY 11435",40.69912823,-73.80560349
115,3/25/2025,107 pct Community Council Meeting,"71-01 Parsons Blvd , Fresh Meadows NY 11365",40.73012493,-73.81073991
116,3/25/2025,108 Precinct Community Council Meeting,"43-31 39th Street, Sunnyside NY",40.7449613,-73.92580155
117,3/25/2025,Rosedale Civic Association,"247-11 Francis Lewis Blvd, Rosedale, NY 11422",40.66368231,-73.73365488
118,3/25/2025,Howard Beach Lindenwood Civic Association Meeting,"157-10 83rd Street � Howard Beach, NY 11414 �",40.66082004,-73.85038205
119,3/26/2025,Richmond Hill Block Association Monthly Meeting,110-08 Jamaica Avenue NY 11418,40.6963813,-73.83766352
120,3/26/2025,PSA 9 Precinct Community Council Meeting,"50-37 Broadway, Woodside, NY 11377",40.75513118,-73.90957995
121,3/26/2025,105th Precinct Council Meeting,"92-08 222nd Street, Queens Village, NY, 11428-1474",40.7263318,-73.73504385
122,3/27/2025,116th Precinct Council Meeting,"244-04 North Conduit Avenue, Jamaica, NY 11422",40.66646092,-73.73346173
123,3/27/2025,Queens Public Library at Ridgewood,"20-12 Madison Street, Ridgewood, NY 11385",40.70527563,-73.90264305
124,3/27/2025,Pomonok Houses Resident Association Meeting,67-09 Kissena Boulevard,40.7351702,-73.81409095
125,3/27/2025,North Shore Towers Men's Club Fraud Presentation,272-40 Grand Central Parkway,40.75694605,-73.71515444
126,3/28/2025,Queens United Career Day at M.S 289,"229-02 137th Avenue, 3rd Floor, Laurelton, NY 11581",40.67272616,-73.74287748
127,3/29/2025,Vietnam Veterans Day in Elmhurst Park,Vietnam Veterans Memorial in Elmhurst Park Grand Avenue and 79 Street,40.73073884,-73.88520256
128,3/29/2025,Bayside St. Patrick's Day Parade,35th Ave and 214 Place,40.7694814,-73.77155754
129,3/30/2025,Forest Hills Street Fair Fair,Continental Avenue between Austin Street and Queens Boulevard,40.72069256,-73.8444809
130,3/31/2025,Flyer Drop Off at Queens Public Library at Woodhaven,"85-41 Forest Pkwy, Woodhaven, NY 11421",40.69453712,-73.86152589
131,4/1/2025,111th Precinct Community Council Meeting,"4506 215 St., Bayside",40.76023729,-73.76758706
132,4/1/2025,102 pct Community Council Meeting,"120-55 Queens Blvd, Kew Gardens NY 11424",40.71363624,-73.82820857
133,4/3/2025,Sunnyside Community Services Elder Justice Program PC,"4331 39 St., Sunnyside",40.7449613,-73.92580155
134,4/3/2025,Commnity Board 10 Meeting,163-15 Cross Bay Boulevard Howard Beach,40.65192558,-73.83778075
135,4/3/2025,Queens Borough President's Salute to Gold Star Spouses,120-55 Queens Boulevard,40.71363624,-73.82820857
136,4/4/2025,Met Council Food Distribution,"12901 Metropolitan Ave, Kew Gardens 11415",40.70390551,-73.82330189
137,4/4/2025,Brandeis Law Sabbath,183-02 Union Turnpike in Fresh Meadows,40.72766663,-73.7851104
138,4/4/2025,NY Mets Opening Day Ceremony,"41 Seaver Wy, Flushing, NY 11368",40.75766436,-73.844662
139,4/7/2025,Community Board 11,"20305 32 Ave., Bayside",40.77076265,-73.78653067
140,4/8/2025,103rd Precinct Meeting,"York College 94-20 Guy R Brewer Blvd, Jamaica, NY 11451",40.70181399,-73.79600319
141,4/8/2025,Community Board 9 Monthly Meeting,Queens Borough Hall,40.71363624,-73.82820857
142,4/8/2025,Woodside Houses Resident Association,"50-37 Broadway, Woodside, NY 11377",40.75513118,-73.90957995
143,4/8/2025,Statewide Senior Safety Sumit,320 Beach 94 Street in Rockaway Beach,40.58767106,-73.81694467
144,4/8/2025,Community Board 14 Meeting,333 Beach 90 Street Rockaway Beach 11693,40.58869727,-73.81533855
145,4/8/2025,QDA Digital Defense Presentation,Flushing Library,40.75777031,-73.8288963
146,4/9/2025,Ravenswood Houses Resident Association,"35-40 21 Street, Long Island City",40.76049387,-73.93670254
147,4/9/2025,Community Board 8 Monthly Meeting,183-02 Union Turnpike in Fresh Meadows,40.72766663,-73.7851104
148,4/9/2025,Community Board 5,"6802 Metropolitan Ave., Middle Village",40.71169516,-73.88821991
149,4/9/2025,109 Pct Community Council Meeting,"11-05 150th Street Whitestone, NY 11357",40.7912859,-73.81461909
150,4/9/2025,109 Precinct Community Council Meeting,143-11 Roosevelt Avenue,40.76155147,-73.82405675
151,4/10/2025,110th Precinct Community Council Meeting,"51-11 108th Street Corona, NY",40.74362977,-73.85492564
152,4/10/2025,Queens Public Library at Woodhaven Mobile Office,"85-41 Forest Pkwy, Woodhaven, NY 11421",40.69453712,-73.86152589
153,4/11/2025,Flushing Library Spring Career & Resource Fair,"41-17 Main Street, Flushing NY 11855",40.75797957,-73.82911965
154,4/12/2025,Lock It In: Protection & Peace of Mind - Scam and Fraud Prevention,"116-42 Farmers Blvd, St. Albans, NY 11412",40.69255734,-73.76264529
155,4/13/2025,CM Brooks Powers Spring Festival,701 Bay 32 Street in Far Rockaway,40.59904589,-73.7690538
156,4/14/2025,Drop off flyers at QPL Poppenhusen,"12123 14 Ave., College Point 11356",40.78619198,-73.84601403
157,4/14/2025,Alvista Towers Tenant Association,"147-36 94th ave Jamaica , NY 11435",40.69905287,-73.80576112
158,4/15/2025,104 Precinct Community Council Meeting,"6116 68 Ave., Ridgewood",40.70532751,-73.89571127
159,4/15/2025,Council Member Joann Ariola�s Night at the Opera Event,"162-45 Cross Bay Blvd, Howard Beach",40.65291099,-73.83802018
160,4/15/2025,South Ozone Park Civic Association West Inc.,"127-17 135th Ave, South Ozone Park, NY 11420",40.66910725,-73.8119252
161,4/16/2025,Community Board 12,172-17 Linden Blvd St. Albans 11412 (Hybrid),40.69232907,-73.7775818
162,4/18/2025,Reform Temple of Forest Hills,"71-11 112 St, Forest Hills",40.72268238,-73.838959
163,4/18/2025,Baisley Park Houses Resident Association Meeting,"164-01 Foch Boulevard, Apt 1G",40.68497376,-73.78226553
164,4/18/2025,The Koren American Family Service Center and QBP Donovan Richards� Rally Against Sexual Assault,"120-55 Queens Blvd., Kew Gardens",40.71363624,-73.82820857
165,4/19/2025,Garden of Hope Flushing Spring Family Day,"Kissena Corridor Park (by the Silent Springs Playground) Colden St, Flushing 11355",40.74726006,-73.8204701
166,4/19/2025,Springfest Family Fun Day - Councilmember Dr. Nantasha Williams,"Archie Spigner Park - Merrick Blvd, Queens, NY 11433",40.69279599,-73.77904048
167,4/21/2025,113th Precinct Council Meeting,"197-01 Linden Boulevard, Jamaica, NY 11412",40.69390783,-73.75468658
168,4/22/2025,115th Precinct Community Council April 2025 Meeting,"92-15 Northern Blvd, Jackson Heights, NY 11372",40.75674512,-73.87565085
169,4/22/2025,107 pct Community Council Meeting,"71-01 Parsons Blvd , Fresh Meadows NY 11365",40.73012493,-73.81073991
170,4/23/2025,101 Precinct Council Meeting (rescheduled),"1332 Central Ave, Far Rockaway, NY 11691",40.60694925,-73.75005544
171,4/23/2025,PSA 9 Precinct Community Council Meeting,"67-09 Kissena Boulevard, Queens",40.7351702,-73.81409095
172,4/23/2025,Deed Fraud Presentation by Bill Jorgenson at Elmhurst Older Adult Center,"7501 Broadway, Elmhurst",40.74624059,-73.89004477
173,4/24/2025,Community Board 3 Monthly Meeting,"35-59 81st Street Jackson Heights, NY 11372",40.74995917,-73.8851664
174,4/24/2025,116th Precinct Council Meeting,"244-04 North Conduit Avenue, Jamaica, NY 11422",40.66646092,-73.73346173
175,4/24/2025,Queens Public Library Poppenhusen Mobile Office,"121-23 14th Ave, College Point, NY 11356",40.78619198,-73.84601403
176,4/24/2025,Pomonok Houses Resident Association Meeting,"67-09 Kissena Boulevard, Queens",40.7351702,-73.81409095
177,4/24/2025,Queens Chamber of Commerce Officers Swearing in Ceremony,"265-11 Union Turnpike, Queens NY 11040",40.74948801,-73.70767535
178,4/25/2025,Flyer drop off at Forest Hills Library,"108-19, 71st Avenue Forest Hills NY 11375",40.7221412,-73.84305027
179,4/25/2025,Queens Borough President's State opf the Borough Speech,"Queens Museum Flushing Meadows Corona Park, Building, Corona 11368",40.74582631,-73.84674539
180,4/26/2025,Educational and Cultural Trust Fund of the Electrical Industry 77th Annual Scholarship Breakfast,67-35 Parsons Boulevard Fresh Meadows 11365,40.73304684,-73.81029707
181,4/26/2025,April Simpson-Taylor Street Co-Naming Ceremony,"10-25 41st Street, Long Island City",40.75561109,-73.94453675
182,4/27/2025,Mount Moriah AME Church,"11620 Francis Lewis Blvd, Cambria Heights, NY",40.69697254,-73.74682306
183,4/27/2025,Mount Olivet Baptist Church,"202-03 Hollis Avenue, Hollis, NY 11412",40.70650623,-73.7555519
184,4/27/2025,Greater Springfield Community Church,"17706 129th Ave, Rochdale, NY 11434",40.68031109,-73.76521455
185,4/28/2025,Civic Association of Utopia Estates Meeting,183-02 Union Turnpike in Fresh Meadows,40.72766663,-73.7851104
186,4/29/2025,108th Precinct Council Meeting,"43-31 39th Street Sunnyside, NY 11104",40.7449613,-73.92580155
187,4/29/2025,Rosedale Civic Association,"247-11 Francis Lewis Blvd, Rosedale, NY 11422",40.66368231,-73.73365488
188,4/29/2025,Senior Fraud Resource Event - Queens Borough Presidents Office,"120-55 Queens Boulevard, Kew Gardens, NY 11424",40.71363624,-73.82820857
189,4/30/2025,100 Precinct Community Council Meeting,333 Beach 90 Street Rockaway Beach,40.58869727,-73.81533855
190,4/30/2025,105th Precinct Council Meeting,"92-08 222nd Street, Queens Village, NY, 11428-1474",40.7263318,-73.73504385
191,4/30/2025,Richmond Hill Block Association Monthly Meeting,110-08 Jamaica Avenue NY 11418,40.6963813,-73.83766352
192,4/30/2025,Elder Abuse Presentation at RAICES Astoria,"21-21 30 Drive, Astoria",40.76819427,-73.92817998
193,5/1/2025,Community Board 2 Meeting,"43-31 39th Street Sunnyside, NY 11104",40.7449613,-73.92580155
194,5/1/2025,"Forest Hills High School ""Chicago"" Play","67-01 110th St, Queens, NY 11375 �",40.7297131,-73.84509491
195,5/1/2025,CM Paladino State of the District,"3224 Corporal Kennedy St., Bayside 11361",40.77150297,-73.78069029
196,5/1/2025,Queens Hospital Dedication of Claire Shulman Pavilion,"8268 164 St., Jamaica",40.71791832,-73.8040876
197,5/1/2025,Commnity Board 10 Meeting,163-15 Cross Bay Blvd. Howard Beach 11414,40.65192558,-73.83778075
198,5/1/2025,Springfield Gardens Civic Association,"145-02 Farmers Blvd, Springfield Gardens NY 11413",40.66627555,-73.76772908
199,5/2/2025,P.S. 75Q Schools Annual Carnival,"155-02 108th Avenue, Jamaica, NY 11433",40.69405608,-73.79677173
200,5/3/2025,"Proctor-Hopson Post #1896, VFW Community Day Celebration","110-02 Merrick Blvd, Jamaica, New York 11433",40.69580195,-73.78281422
201,5/5/2025,QPL at Briarwood Elder Fraud Presentation,"85-12 Main Street, Briarwood, NY 11435",40.71010542,-73.81950213
202,5/5/2025,Community Board 11 Monthly Meeting,"KCS, 20305 32 Ave., Bayside",40.77108799,-73.78668162
203,5/5/2025,QDA Veterans Advisory Courtroom Tour,QDA Criminal Courthouse,40.71270017,-73.82569868
204,5/6/2025,Community Board 4 Monthly Meeting,"96-10 57th Avenue Coronoa, NY",40.73693626,-73.86409183
205,5/6/2025,102 pct Community Council Meeting,110-08 Jamaica Avenue NY 11418,40.6963813,-73.83766352
206,5/6/2025,111th Precinct Community Council Meeting,"4506 215 St., Bayside",40.76023729,-73.76758706
207,5/8/2025,110th Precinct Community Council Meeting,"57-11 108th Street Corona, NY",40.74017239,-73.85314556
208,5/8/2025,Queens Public Library at Forest Hills Mobile Office,"108-19 71st Ave, Forest Hills, NY 11375",40.72204539,-73.84300825
209,5/8/2025,South Jamaica Houses Resident Association,"109-04 160th Street Jamaica, NY 11433",40.69388593,-73.79219071
210,5/8/2025,Hamilton Beach Civic Association,99-62 Russel Street Howard Beach,40.65515354,-73.83071298
211,5/10/2025,Holly Civic Meeting,4602 Parsons Blvd.,40.75395997,-73.81350148
212,5/10/2025,United Black Men of Queens Mentoring Program,"171-10 Linden Blvd, Jamaica, NY 11434",40.69156162,-73.77855624
213,5/10/2025,Glow Cultural Center Resource Fair,"133-29 41st Ave., Flushing",40.75753595,-73.83123998
214,5/10/2025,International Missing Children Day Denim Day Event,130 Beach 84th Street in Rockaway Beach 11693,40.58678557,-73.80957376
215,5/12/2025,Queens Public Library Glen Oaks Flyer Drop off,"256-04 Union Tpke, Queens, NY 11004",40.74525825,-73.71487433
216,5/13/2025,Community Board 9 Monthly Meeting,Queens Borough Hall,40.71363624,-73.82820857
217,5/13/2025,103rd Precinct Meeting,"94-20 Guy R Brewer Blvd, Jamaica, NY 11451",40.70181399,-73.79600319
218,5/13/2025,Community Board 14 Meeting,333 Beach 90 Street in Rockaway Beach 11693,40.58869727,-73.81533855
219,5/13/2025,QDA AAPI Event,Queens College,40.73605331,-73.81731355
220,5/14/2025,Community Board 8 Monthly Meeting,183-02 Union Turnpike in Fresh Meadows,40.72766663,-73.7851104
221,5/14/2025,Community Board 5 Monthly Meeting,"6802 Metropolitan Ave., Middle Village",40.71169516,-73.88821991
222,5/14/2025,106th Precinct Community Council,"106th Precinct 103-53 101st St, South Ozone Park, NY 11417",40.68218822,-73.8397645
223,5/14/2025,109 Precinct COmmunity Council Meeting,143-11 Roosevelt Avenue,40.76155147,-73.82405675
224,5/15/2025,West Cunningham Park Civic Association Meeting,Christ Lutheran Church in Fresh Meadows. 188 street and 73rd Aveue,40.73303616,-73.7824318
225,5/17/2025,Queens Metropolitian HS & Rise Against Hunger Event,"9130 Metropolitian Ave Firest Hills, NY 11375",40.7087331,-73.85618285
226,5/17/2025,"I.S. 59 Annual Community Health, Educationa; & Employment Resource Fair","132-55 Ridgedale Street Springfield Gardens, NY 11413",40.68202513,-73.75313423
227,5/18/2025,112th Precinct Community Council Health and Safety Fair,"97th Street & 62nd Drive, Rego Park NY",40.73245232,-73.86172181
228,5/19/2025,113th Precinct Council Meeting,"115-62 Sutphin Boulevard, Jamaica, NY 11434",40.68313973,-73.79279935
229,5/19/2025,Alvista Towers Tenant Association,"147-36 94th ave Jamaica , NY 11435",40.69910383,-73.80579661
230,5/20/2025,115th Precinct Community Council Meeting,"92-15 Northern Boulevard East Elmhurst, NY",40.75674512,-73.87565085
231,5/20/2025,Frauds Presentation at Bay Terrace Gardens Jewish Center,"13-00 209th St., Bayside",40.78806075,-73.78404353
